scope1_emissions,scope2_emissions,scope3_emissions,emission_reduction_score,renewable_energy_share,community_investment,diversity_women_ratio,health_safety_score,board_esg_oversight_score,sustainable_finance,total_revenue,reporting_quality_score
1004.36,0.0,2592.07,4.0,100.0,17700000.0,0.513,4.0,4.0,1078000000.0,1572000000.0,4.0
2670.0,4909.0,2200000.0,4.0,0.6,10.8,0.4,4.0,4.0,3700000000.0,4722.0,4.0
1473.0,18419.0,35102566.0,4.0,0.89,2443000.0,0.385,4.0,4.0,800000000.0,2290000000.0,4.0
495.0,196.0,167000000.0,4.0,0.87,118000.0,0.36,4.0,4.0,1183000000.0,246000000.0,4.0
0.0,737.0,729538.0,2.0,0.9,282000.0,0.597,2.0,2.0,90210000.0,310500000.0,2.0
796.0,777.0,11678.0,4.0,0.95,60200000.0,0.4,4.0,4.0,74200000000.0,80193000000.0,4.0
355.0,525.0,1250354.0,4.0,0.45,141000.0,0.47,4.0,4.0,3800000000.0,1414000000.0,4.0
2628.41,13.56,4040041.09,4.0,0.9940000000000001,16585000.0,0.49340000000000006,4.0,4.0,1048390000.0,5321346000.0,4.0
4206.9,0.0,19677733.09,4.0,1.0,932600000.0,0.5,4.0,4.0,486000000.0,3797000000.0,4.0
13224.86,0.0,36688.02,4.0,1.0,202549000000.0,0.51,2.0,4.0,206493000000.0,222143000000.0,4.0
10602.9,2851.8,13193.9,4.0,1.0,5800000.0,0.297,4.0,4.0,7000000000.0,4938000000.0,4.0
5502.0,5756.0,6839678.0,4.0,0.974,2400000.0,0.45,4.0,4.0,7073000000.0,11218400000.0,4.0
622.3,0.0,8112391.51,4.0,1.0,8011000.0,0.29,4.0,4.0,650000000.0,1331216000.0,4.0
3243.0,0.0,7165000000.0,4.0,1.0,3716208.0,0.5529999999999999,4.0,4.0,15000000000.0,1890778000.0,4.0
1252.01,1992.65,3845.34,4.0,0.0154,3453667730.0,0.5886,4.0,4.0,383886000000.0,3187360000000.0,4.0
5542.0,1942.0,9856.0,4.0,0.914,33299999.999999996,0.56,4.0,4.0,4800000000.0,933000000.0,4.0
902.25,9359.0,2944625.0,2.0,0.021,4000000.0,0.44,2.0,2.0,585465965.0,1092000000.0,2.0
3615.0,10.0,5058.0,4.0,0.001,7100000.0,0.46,4.0,4.0,11100000000.0,7820000000.0,4.0
1672.12,63.07,14659270000.0,4.0,0.992,3615000.0,0.455,4.0,4.0,2426000000.0,2660543000.0,4.0
1305.0,106.0,2471.0,4.0,1.0,652000.0,0.414,4.0,4.0,607200000.0,1070800000.0,4.0
1526.0,361.0,12643.0,4.0,0.675,99720.0,0.47,4.0,4.0,442700000.0,762000000.0,4.0
1331.0,1009.0,284.0,2.0,1.0,1100000.0,0.58,2.0,2.0,1150000000.0,3120100000.0,2.0
1286.0,410.0,1717.0,4.0,0.52,1140000.0,0.274,4.0,4.0,1496000000.0,1441000000.0,4.0
5343.0,79.0,19714932.0,4.0,0.95,37000000.0,0.409,4.0,4.0,2500000000.0,1115000000.0,4.0
146.0,59.0,2667000000.0,4.0,1.0,120000000.0,0.3417,4.0,4.0,6300000000.0,516000000.0,4.0
7600.0,360.7,55600.0,4.0,1.0,456000000.0,0.5559000000000001,4.0,4.0,7100000000.0,2014000000.0,4.0
8423.34,0.0,221863.91,4.0,1.0,538.0,0.43,4.0,4.0,50813000000.0,15140000000.0,4.0
7123.87,16492.32,1648.18,4.0,0.96,42500000.0,0.43320000000000003,4.0,4.0,1000000000.0,4220000000.0,4.0
455.0,7226.0,321.0,2.0,1.0,2000000.0,0.3,2.0,2.0,155000000.0,4347000000.0,2.0
46582.0,28927.0,77004.0,3.0,1.0,86000000.0,0.494,3.0,3.0,92700000000.0,414200000.0,3.0
17418.0,12867.0,46306.0,4.0,9000000000.0,690113.0,0.361,4.0,4.0,238000000000.0,10461.0,4.0
25156.0,14162.0,435757000000.0,4.0,34130000.0,439000000.0,0.42,2.0,4.0,50247000000.0,18701000000.0,4.0
73000.0,1.0,48800000.0,4.0,4559000000.0,40100000.0,0.44,4.0,4.0,34227000000.0,15405000000.0,4.0
2723.7,620.0,3582302.6,4.0,0.636,1604000.0,0.3936,4.0,4.0,461000000.0,2077860000.0,4.0
201.0,1753.0,7338.0,4.0,0.53,7100000.0,0.51,4.0,4.0,365000000000.0,52445000000.0,4.0
1433.0,2067.0,3103.0,4.0,1.0,1310000.0,0.389,4.0,4.0,59800000000.0,5707000000.0,4.0
18735.0,26079.0,1286521.0,4.0,0.97,52600000.0,0.46299999999999997,2.0,4.0,279000000000.0,28876000000.0,4.0
20813.67,7658.97,54870.51,4.0,0.96,3800000.0,0.461,4.0,4.0,7380000000.0,3189000000.0,4.0
18701.0,13153.0,28300000.0,4.0,0.91,31700000.0,0.589,2.0,4.0,2950000000.0,10552000000.0,4.0
5067100000000.0,1607100000000.0,24313100000000.0,4.0,0.9804,17000000.0,0.65,4.0,4.0,2180000000.0,2803000000.0,4.0
281.0,0.0,941.0,4.0,0.71,879030.0,0.55,4.0,4.0,20800000.0,1893000000.0,4.0
