co2_ch4_n2o_scope_1_3,carbon_intensity,board_diversity,corruption_cases,governance_compliance_score,total_energy_consumption,renewable_energy_share,turnover_rate,injury_frequency_rate,green_financing
55.56,83.62,27.15,37.0,97.69,75.79,63.47,89.18,27.42,79.97
19.4,14.0,34.15,19.0,15.94,41.1,37.95,53.91,88.62,54.58
29.98,36.5,66.07,47.0,71.86,59.07,34.87,19.8,84.84,77.01
59.01,58.05,0.64,16.0,45.75,97.29,31.05,25.01,78.17,32.69
53.95,23.91,95.88,14.0,25.96,72.6,31.2,48.28,26.77,95.29
3.97,68.65,9.88,18.0,24.99,23.2,42.68,33.73,2.29,36.88
71.63,7.37,73.08,29.0,89.67,33.18,65.08,35.1,20.55,32.57
34.74,12.29,31.99,37.0,92.12,38.56,42.53,18.12,40.57,10.09
58.41,64.7,26.17,20.0,71.59,63.62,78.67,99.95,25.59,67.4
43.0,69.29,89.87,37.0,83.66,42.12,84.54,65.53,71.24,39.96
69.28,28.85,72.62,43.0,6.37,27.59,7.82,40.49,86.93,19.19
53.51,36.37,43.91,34.0,61.8,37.31,49.66,25.91,34.65,86.76
22.99,73.98,28.22,42.0,9.45,6.05,71.58,7.54,66.04,0.22
67.03,9.14,92.4,42.0,72.92,62.71,34.54,9.51,16.99,81.97
28.21,45.49,53.04,43.0,23.91,26.86,61.93,53.28,41.13,84.45
39.84,64.05,87.65,42.0,10.88,43.32,71.05,70.41,93.42,36.94
40.99,80.0,35.64,0.0,32.45,80.4,21.23,2.76,49.8,1.74
50.53,93.55,44.17,15.0,7.96,48.56,17.0,0.55,75.38,45.02
49.93,42.42,10.98,44.0,78.71,91.32,67.59,32.65,41.83,98.75
49.84,28.13,37.5,7.0,12.29,15.16,92.08,59.15,16.67,34.93
44.96,61.16,7.47,37.0,95.31,65.75,30.42,91.33,7.91,43.08
96.4,89.61,48.75,44.0,46.24,37.17,30.94,37.0,82.04,86.58
96.7,6.57,71.8,40.0,56.14,70.48,23.76,72.14,95.15,56.17
45.66,32.28,47.75,46.0,43.22,48.45,87.26,85.39,37.31,68.07
45.76,82.07,77.25,43.0,66.61,32.04,97.76,54.14,62.34,11.91
74.44,39.42,1.4,24.0,24.1,95.11,36.04,82.09,5.83,69.84
70.31,35.06,4.6,16.0,26.71,0.09,49.78,17.0,68.27,92.02
37.54,68.45,55.77,35.0,55.8,72.56,52.04,94.66,16.1,59.25
87.42,67.1,67.17,36.0,69.44,20.57,63.83,87.92,40.58,11.05
41.96,74.53,96.51,47.0,51.93,72.44,70.1,90.83,99.75,67.63
52.21,31.57,31.95,15.0,32.7,32.28,49.21,88.81,81.04,10.49
68.42,63.14,60.49,41.0,11.79,73.68,94.5,35.34,75.34,33.36
86.46,17.32,33.81,12.0,77.96,80.59,77.78,99.29,53.57,14.65
57.63,89.77,19.95,32.0,18.71,49.69,16.98,66.63,93.43,68.35
63.58,17.14,22.26,13.0,67.14,53.28,14.73,83.28,25.66,7.46
85.67,75.57,5.83,42.0,41.74,48.61,34.4,91.22,2.89,25.13
69.65,44.33,28.54,42.0,27.73,87.38,42.32,42.14,75.2,71.62
29.01,76.92,56.74,27.0,1.75,3.88,39.37,32.95,76.94,48.49
86.4,74.27,58.52,5.0,11.34,73.01,88.97,39.57,51.17,46.86
30.1,65.78,58.23,24.0,63.88,14.01,64.47,0.25,81.45,78.47
12.04,68.04,9.17,15.0,3.84,2.89,73.65,89.49,40.24,51.77
27.88,87.77,63.52,17.0,29.54,72.55,22.07,30.8,86.34,69.59
62.03,85.54,62.91,17.0,67.85,77.0,81.42,50.23,17.84,39.79
9.35,59.84,93.81,26.0,3.92,2.15,23.74,83.63,34.67,31.61
16.86,75.83,44.06,41.0,55.94,7.57,55.48,14.89,52.91,67.35
61.06,83.04,76.03,8.0,58.26,89.35,58.65,65.27,66.01,52.21
14.0,93.31,75.83,20.0,45.11,43.25,90.52,13.53,74.57,54.46
15.32,64.32,59.68,16.0,3.15,76.95,25.99,1.55,58.75,56.61
38.9,3.73,52.16,40.0,19.34,7.29,27.73,47.53,97.76,40.22
92.93,37.36,42.43,32.0,15.22,97.92,80.78,40.61,54.31,10.45
37.14,59.16,97.62,14.0,34.07,64.02,54.14,65.34,85.62,65.6
69.0,89.63,74.94,28.0,0.39,64.29,63.36,64.59,49.81,52.24
91.11,64.01,93.43,25.0,68.69,41.73,16.85,21.01,52.15,48.51
40.51,30.66,42.72,46.0,74.15,16.12,49.56,39.81,58.19,65.34
41.31,98.53,53.45,12.0,46.52,50.4,83.37,36.03,24.74,73.33
63.42,69.53,57.22,44.0,46.52,32.79,99.22,90.04,41.12,59.37
10.95,76.58,99.37,22.0,91.8,64.5,45.37,41.27,44.26,75.06
51.64,72.23,3.19,7.0,57.13,72.9,59.91,25.71,81.44,43.94
92.7,18.76,56.31,22.0,86.04,46.05,78.64,43.52,19.55,14.36
10.16,98.78,43.93,16.0,80.05,12.23,11.12,32.91,19.27,33.67
16.96,80.53,39.46,34.0,85.14,63.63,32.96,69.25,3.95,31.72
59.09,10.21,9.95,34.0,14.64,56.71,64.72,71.19,24.32,50.11
91.93,89.26,21.88,30.0,71.33,93.46,99.0,52.06,13.83,6.67
60.47,54.81,50.24,33.0,47.29,83.16,22.36,7.87,56.64,20.9
30.75,62.72,15.17,11.0,0.35,4.27,28.41,51.75,19.38,4.91
34.32,52.39,63.19,29.0,43.84,89.17,31.99,46.2,98.32,46.08
28.71,22.81,54.09,41.0,92.64,88.67,92.34,94.96,6.89,23.07
40.73,53.51,75.93,28.0,38.23,43.72,2.04,75.84,26.05,86.33
99.29,49.01,13.92,13.0,60.8,25.31,95.12,10.91,38.75,99.79
